route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
100,FR,100,TOMMASO NATALE      ,0,10,1000
101,FR,1000,STADIO              ,1,46,1011
806,FE,10000,POLITEAMA           ,1,540,8061
806,FE,10001,MONDELLO            ,0,540,8060
806,FE,10002,POLITEAMA           ,1,540,8061
806,FE,10004,MONDELLO            ,0,541,8060
806,FE,10005,POLITEAMA           ,1,541,8061
806,FE,10006,MONDELLO            ,0,541,8060
806,FE,10007,POLITEAMA           ,1,541,8061
806,FE,10008,MONDELLO            ,0,541,8060
806,FE,10009,POLITEAMA           ,1,541,8061
101,FR,1001,STAZIONE CENTRALE   ,0,46,1010
806,FE,10010,MONDELLO            ,0,541,8060
806,FE,10011,POLITEAMA           ,1,541,8061
806,FE,10012,MONDELLO            ,0,541,8060
806,FE,10013,POLITEAMA           ,1,541,8061
806,FE,10014,MONDELLO            ,0,541,8060
806,FE,10015,POLITEAMA           ,1,541,8061
806,FE,10016,MONDELLO            ,0,541,8060
806,FE,10017,POLITEAMA           ,1,541,8061
806,FE,10018,MONDELLO            ,0,541,8060
806,FE,10019,POLITEAMA           ,1,541,8061
101,FR,1002,STADIO              ,1,46,1011
806,FE,10020,MONDELLO            ,0,541,8060
806,FE,10021,POLITEAMA           ,1,541,8061
806,FE,10022,MONDELLO            ,0,541,8060
806,FE,10023,POLITEAMA           ,1,541,8061
806,FE,10024,MONDELLO            ,0,541,8060
806,FE,10025,POLITEAMA           ,1,541,8061
806,FE,10026,MONDELLO            ,0,541,8060
806,FE,10027,POLITEAMA           ,1,541,8061
806,FE,10029,MONDELLO            ,0,542,8060
101,FR,1003,STAZIONE CENTRALE   ,0,46,1010
806,FE,10030,POLITEAMA           ,1,542,8061
806,FE,10031,MONDELLO            ,0,542,8060
806,FE,10032,POLITEAMA           ,1,542,8061
806,FE,10033,MONDELLO            ,0,542,8060
806,FE,10034,POLITEAMA           ,1,542,8061
806,FE,10035,MONDELLO            ,0,542,8060
806,FE,10036,POLITEAMA           ,1,542,8061
806,FE,10037,MONDELLO            ,0,542,8060
806,FE,10038,POLITEAMA           ,1,542,8061
806,FE,10039,MONDELLO            ,0,542,8060
101,FR,1004,STADIO              ,1,46,1011
806,FE,10040,POLITEAMA           ,1,542,8061
806,FE,10041,MONDELLO            ,0,542,8060
806,FE,10042,POLITEAMA           ,1,542,8061
806,FE,10043,MONDELLO            ,0,542,8060
806,FE,10044,POLITEAMA           ,1,542,8061
806,FE,10045,MONDELLO            ,0,542,8060
806,FE,10046,POLITEAMA           ,1,542,8061
806,FE,10047,MONDELLO            ,0,542,8060
806,FE,10048,POLITEAMA           ,1,542,8061
806,FE,10049,MONDELLO            ,0,542,8060
101,FR,1005,STAZIONE CENTRALE   ,0,46,1010
806,FE,10050,POLITEAMA           ,1,542,8061
806,FE,10051,MONDELLO            ,0,542,8060
806,FE,10052,POLITEAMA           ,1,542,8061
806,FR,10054,MONDELLO            ,0,543,8060
806,FR,10055,POLITEAMA           ,1,543,8061
806,FR,10056,MONDELLO            ,0,543,8060
806,FR,10057,POLITEAMA           ,1,543,8061
806,FR,10058,MONDELLO            ,0,543,8060
806,FR,10059,POLITEAMA           ,1,543,8061
101,FR,1006,STADIO              ,1,46,1011
806,FR,10060,MONDELLO            ,0,543,8060
806,FR,10061,POLITEAMA           ,1,543,8061
806,FR,10062,MONDELLO            ,0,543,8060
806,FR,10063,POLITEAMA           ,1,543,8061
806,FR,10064,MONDELLO            ,0,543,8060
806,FR,10065,POLITEAMA           ,1,543,8061
806,FR,10066,MONDELLO            ,0,543,8060
806,FR,10067,POLITEAMA           ,1,543,8061
806,FR,10068,MONDELLO            ,0,543,8060
806,FR,10069,POLITEAMA           ,1,543,8061
101,FR,1007,STAZIONE CENTRALE   ,0,46,1010
806,FR,10070,MONDELLO            ,0,543,8060
806,FR,10071,POLITEAMA           ,1,543,8061
806,FR,10072,MONDELLO            ,0,543,8060
806,FR,10073,POLITEAMA           ,1,543,8061
806,FR,10074,MONDELLO            ,0,543,8060
806,FR,10075,POLITEAMA           ,1,543,8061
806,FR,10076,MONDELLO            ,0,543,8060
806,FR,10077,POLITEAMA           ,1,543,8061
806,FR,10079,MONDELLO            ,0,544,8060
101,FR,1008,STADIO              ,1,46,1011
806,FR,10080,POLITEAMA           ,1,544,8061
806,FR,10081,MONDELLO            ,0,544,8060
806,FR,10082,POLITEAMA           ,1,544,8061
806,FR,10083,MONDELLO            ,0,544,8060
806,FR,10084,POLITEAMA           ,1,544,8061
806,FR,10085,MONDELLO            ,0,544,8060
806,FR,10086,POLITEAMA           ,1,544,8061
806,FR,10087,MONDELLO            ,0,544,8060
806,FR,10088,POLITEAMA           ,1,544,8061
806,FR,10089,MONDELLO            ,0,544,8060
101,FR,1009,STAZIONE CENTRALE   ,0,46,1010
806,FR,10090,POLITEAMA           ,1,544,8061
806,FR,10091,MONDELLO            ,0,544,8060
806,FR,10092,POLITEAMA           ,1,544,8061
806,FR,10093,MONDELLO            ,0,544,8060
806,FR,10094,POLITEAMA           ,1,544,8061
806,FR,10095,MONDELLO            ,0,544,8060
806,FR,10096,POLITEAMA           ,1,544,8061
806,FR,10097,MONDELLO            ,0,544,8060
806,FR,10098,POLITEAMA           ,1,544,8061
806,FR,10099,MONDELLO            ,0,544,8060
101,FR,1010,STADIO              ,1,46,1011
806,FR,10100,POLITEAMA           ,1,544,8061
806,FR,10101,MONDELLO            ,0,544,8060
806,FR,10102,POLITEAMA           ,1,544,8061
806,FR,10104,MONDELLO            ,0,545,8060
806,FR,10105,POLITEAMA           ,1,545,8061
806,FR,10106,MONDELLO            ,0,545,8060
806,FR,10107,POLITEAMA           ,1,545,8061
806,FR,10108,MONDELLO            ,0,545,8060
806,FR,10109,POLITEAMA           ,1,545,8061
101,FR,1011,STAZIONE CENTRALE   ,0,46,1010
806,FR,10110,MONDELLO            ,0,545,8060
806,FR,10111,POLITEAMA           ,1,545,8061
806,FR,10112,MONDELLO            ,0,545,8060
806,FR,10113,POLITEAMA           ,1,545,8061
806,FR,10114,MONDELLO            ,0,545,8060
806,FR,10115,POLITEAMA           ,1,545,8061
806,FR,10116,MONDELLO            ,0,545,8060
806,FR,10117,POLITEAMA           ,1,545,8061
806,FR,10118,MONDELLO            ,0,545,8060
806,FR,10119,POLITEAMA           ,1,545,8061
101,FR,1012,STADIO              ,1,46,1011
806,FR,10120,MONDELLO            ,0,545,8060
806,FR,10121,POLITEAMA           ,1,545,8061
806,FR,10122,MONDELLO            ,0,545,8060
806,FR,10123,POLITEAMA           ,1,545,8061
806,FR,10124,MONDELLO            ,0,545,8060
806,FR,10125,POLITEAMA           ,1,545,8061
806,FR,10126,MONDELLO            ,0,545,8060
806,FR,10127,POLITEAMA           ,1,545,8061
806,FR,10129,MONDELLO            ,0,546,8060
101,FR,1013,STAZIONE CENTRALE   ,0,46,1010
806,FR,10130,POLITEAMA           ,1,546,8061
806,FR,10131,MONDELLO            ,0,546,8060
806,FR,10132,POLITEAMA           ,1,546,8061
806,FR,10133,MONDELLO            ,0,546,8060
806,FR,10134,POLITEAMA           ,1,546,8061
806,FR,10135,MONDELLO            ,0,546,8060
806,FR,10136,POLITEAMA           ,1,546,8061
806,FR,10137,MONDELLO            ,0,546,8060
806,FR,10138,POLITEAMA           ,1,546,8061
806,FR,10139,MONDELLO            ,0,546,8060
101,FR,1014,STADIO              ,1,46,1011
806,FR,10140,POLITEAMA           ,1,546,8061
806,FR,10141,MONDELLO            ,0,546,8060
806,FR,10142,POLITEAMA           ,1,546,8061
806,FR,10143,MONDELLO            ,0,546,8060
806,FR,10144,POLITEAMA           ,1,546,8061
806,FR,10145,MONDELLO            ,0,546,8060
806,FR,10146,POLITEAMA           ,1,546,8061
806,FR,10147,MONDELLO            ,0,546,8060
806,FR,10148,POLITEAMA           ,1,546,8061
806,FR,10149,MONDELLO            ,0,546,8060
101,FR,1015,STAZIONE CENTRALE   ,0,46,1010
806,FR,10150,POLITEAMA           ,1,546,8061
806,FR,10151,MONDELLO            ,0,546,8060
806,FR,10152,POLITEAMA           ,1,546,8061
806,FR,10154,MONDELLO            ,0,547,8060
806,FR,10155,POLITEAMA           ,1,547,8061
806,FR,10156,MONDELLO            ,0,547,8060
806,FR,10157,POLITEAMA           ,1,547,8061
806,FR,10158,MONDELLO            ,0,547,8060
806,FR,10159,POLITEAMA           ,1,547,8061
101,FR,1016,STADIO              ,1,46,1011
806,FR,10160,MONDELLO            ,0,547,8060
806,FR,10161,POLITEAMA           ,1,547,8061
806,FR,10162,MONDELLO            ,0,547,8060
